PC_1,PC_2
-6644.006232073159,-23789.45415730898
-9072.017183243843,-23822.27022230182
-9665.150184143995,32671.98196767915
-9742.528879784279,6501.5699122483375
-9780.421638257369,-5559.448318144407
-9791.08588097128,-23235.431232141244
-9753.40939748061,-23276.27675859896
-9818.777148821542,-23523.945314753822
-9774.810125992795,-23736.444480588194
-9817.493774944669,-23747.035259221986
-9428.584304062506,-23802.336154058063
-9798.700771360229,-23796.22866793058
-9727.106371007998,-10866.43502265818
-8058.673522417304,-17207.13567957272
-9871.639303032243,-15429.411603120212
-9734.203913453772,-20112.538629638177
-7446.359938409168,-22832.31794808833
-8649.194524789966,-22430.407005502693
-9743.463171328587,-19734.600725737448
-9654.166467201436,-23274.43855868962
-9788.223212158618,3508.6209690458372
-2414.4144087029017,-20490.76022808611
-9754.302432287404,-22618.452947008685
-9884.221236442963,-11546.21288955477
-9824.164258057737,-23506.595438773693
-9625.680163803107,-23520.806146593342
2611.361642115508,-23864.12371583261
-8787.388365476814,1136.4088738416058
-9761.1444255571,-12580.22581009601
-9825.863715989937,4520.994242297121
-10065.833125098397,59349.94137507828
-9200.711468848007,-3195.1094671864266
-9614.521364893439,-6090.722788027449
-9776.795709937356,-23188.744106225615
-9423.457573867643,-23154.21413585496
-9082.54346403187,-13360.991135434859
-9834.720508359656,-22560.541268658144
-8416.279123737477,-23234.805763652374
-8518.055987971931,8709.138652887641
-8411.643519538635,-23325.42685699413
-9837.417208440424,-20510.485208835882
-9416.822183148104,-22960.572988418106
-9784.442641169544,-22539.571876018203
-9647.504469361931,-23031.95522715566
-7258.828509684781,-21724.865307983924
-9836.830002530878,-20628.66530869279
-9851.046962561908,-22602.822412395642
-9860.324017950457,-22331.47264177581
-9903.606195255185,-5374.786445765746
-193.03717952922744,-22777.39621320367
-9353.296327103988,-23426.85765778457
-4929.801385409063,-23658.48532788967
-9848.664632229433,-22475.77864420676
-9755.54230523427,-22990.45646299661
-9096.02965971908,-23501.6398258128
-9807.774936826554,-23139.47628222255
-9817.048787357595,-23158.06601102651
-9838.996096311688,-22578.7278167731
-9862.986080297964,-20015.381701101775
-9855.504123928971,-23190.097429346533
-9859.534715257118,-19828.60927186598
-9251.66437485706,-23441.275819017686
-8446.511708760276,-23386.383090134586
-9844.294331485093,-22931.988099255614
-9760.868152872972,-23156.82349208304
-9827.457481117402,-23337.42911599788
-9753.21292751564,-21881.58825271275
-9828.141390696746,-23422.311266552555
-9845.586513059265,-23083.46740878142
-9843.497364419869,-23348.179460327876
-9829.060034338849,-23240.411584451766
-9547.950662455563,-23683.111180386364
-9884.894958998462,77.66981145443022
-9787.458782753569,-22872.614777026884
-9274.400322100197,-23551.58141372274
-9745.182600000595,-23501.99039393209
-9852.29832167119,-23640.916564339284
-9700.775050359,-23594.268251671816
-9692.221240196593,-23698.027826049794
-9830.626395561763,-23105.232950057947
-8287.348091620726,-23638.67498037066
-9459.489200001703,-23385.491939831118
-6502.794458648256,-23466.081192762682
-9726.889655537307,-22191.641646664604
-9788.72623748641,-22971.51380000289
-9776.451821456716,-23265.201967896224
-9472.108689745824,-23678.104784122537
